fact_key,video_sk,channel_sk,views_count,likes_count,dislikes_count,comments_count,engagement_rate,virtual_revenue,grab_date,_batch_id
3221,3221,2549,3517,23,4,0,0.0077,7.03,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3222,3222,-1,385548,1400,344,0,0.0045,771.1,2019-11-18 10:06:30.097,run_initial_20260725_085047_7fde
3223,3223,-1,674481,9800,485,0,0.0152,1348.96,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3224,3224,8660,446877,16000,522,0,0.037,893.75,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3225,3225,9080,3854051,14000,746,0,0.0038,7708.1,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3226,3226,5200,6184,44,4,0,0.0078,12.37,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3227,3227,13373,2956938,8800,699,0,0.0032,5913.88,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3228,3228,8289,146466,1900,322,0,0.0152,292.93,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3229,3229,13209,8683,34,2,0,0.0041,17.37,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3230,3230,-1,9579,30,2,0,0.0033,19.16,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3231,3231,-1,74937,1700,145,0,0.0246,149.87,2019-11-19 00:05:14.317,run_initial_20260725_085047_7fde
3232,3232,7129,332731,3400,518,0,0.0118,665.46,2019-11-18 11:37:24.147,run_initial_20260725_085047_7fde
3233,3233,12984,170197,2900,467,0,0.0198,340.39,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3234,3234,-1,1131287,2800,353,0,0.0028,2262.57,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3235,3235,7572,4821826,21000,4700,0,0.0053,9643.65,2019-11-19 04:17:41.230,run_initial_20260725_085047_7fde
3236,3236,8354,4704538,41000,1800,0,0.0091,9409.08,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3237,3237,-1,12532,67,5,0,0.0057,25.06,2019-11-19 00:49:18.377,run_initial_20260725_085047_7fde
3238,3238,3797,173817,470,22,0,0.0028,347.63,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3239,3239,1038,707224,1500,412,0,0.0027,1414.45,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3240,3240,5031,1328,2,2,0,0.003,2.66,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3241,3241,2854,19215,278,23,0,0.0157,38.43,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3242,3242,13020,17839,38,10,0,0.0027,35.68,2019-11-17 08:03:18.807,run_initial_20260725_085047_7fde
3243,3243,503,919056,6100,453,0,0.0071,1838.11,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3244,3244,862,86834,691,73,0,0.0088,173.67,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3245,3245,11103,175065,2200,129,0,0.0133,350.13,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3246,3246,1746,22039238,271000,10000,0,0.0127,44078.48,2019-11-18 07:07:17.827,run_initial_20260725_085047_7fde
3247,3247,96,1612,22,9,0,0.0192,3.22,2019-11-13 14:59:54.440,run_initial_20260725_085047_7fde
3248,3248,-1,18044,45,10,0,0.003,36.09,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3249,3249,10836,4138641,10000,1000,0,0.0027,8277.28,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3250,3250,1,90542,1200,86,0,0.0142,181.08,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3251,3251,13092,6770226,32000,3300,0,0.0052,13540.45,2019-11-20 14:16:04.557,run_initial_20260725_085047_7fde
3252,3252,-1,385173,5500,178,0,0.0147,770.35,2019-11-21 16:41:32.767,run_initial_20260725_085047_7fde
3253,3253,5493,373773,8700,286,0,0.024,747.55,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3254,3254,-1,497181,9800,402,0,0.0205,994.36,2019-11-18 10:12:39.647,run_initial_20260725_085047_7fde
3255,3255,-1,18676,851,20,0,0.0466,37.35,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3256,3256,10592,202799,0,0,0,0.0,405.6,2019-11-19 01:02:48.033,run_initial_20260725_085047_7fde
3257,3257,9991,55404,137,22,0,0.0029,110.81,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3258,3258,5715,8483,15,16,0,0.0037,16.97,2019-11-13 23:52:23.937,run_initial_20260725_085047_7fde
3259,3259,10514,234303,5700,206,0,0.0252,468.61,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3260,3260,-1,255454,5800,361,0,0.0241,510.91,2019-11-20 16:44:37.333,run_initial_20260725_085047_7fde
3261,3261,11634,3385068,50000,5700,0,0.0165,6770.14,2019-11-13 22:46:19.660,run_initial_20260725_085047_7fde
3262,3262,11955,36587,50,31,0,0.0022,73.17,2019-11-13 22:48:50.453,run_initial_20260725_085047_7fde
3263,3263,3409,852,8,0,0,0.0094,1.7,2019-11-14 02:23:31.573,run_initial_20260725_085047_7fde
3264,3264,-1,193431,847,128,0,0.005,386.86,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3265,3265,13538,833399,5700,410,0,0.0073,1666.8,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3266,3266,3799,1523424,11000,331,0,0.0074,3046.85,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3267,3267,2851,752595,22000,439,0,0.0298,1505.19,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3268,3268,2279,671997,3300,645,0,0.0059,1343.99,2019-11-20 13:54:52.497,run_initial_20260725_085047_7fde
3269,3269,13509,32615,1100,41,0,0.035,65.23,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
