category_id,total_videos,total_views,total_likes,average_length,top_video_title,updated_at
Kak Zovut,1,14094754,84000,380.84,COMEDY WOMAN. Камеди вуман. Ревнивая жена.,2026-07-25 11:35:17.479934
Kansız,1,9642697,105000,750.87,MERMİYE KAFA ATMAK,2026-07-25 11:35:17.479934
Kelsey J,1,9282267,365000,1395.98,I Dressed Like YouTubers For A Week,2026-07-25 11:35:17.479934
Kerem Gamer,1,3617052,115000,1155.04,TEKNOLOJİ OLMADAN 1 GÜN GEÇİRMEK! ( YOUTUBERLARIN DÜŞÜŞÜ),2026-07-25 11:35:17.479934
Kitsch,1,1907217,30000,2328.87,Inside Brazil's Biggest Prison Beauty Pageant,2026-07-25 11:35:17.479934
Ksenia Remneva,1,604386,11000,784.84,Inside Anfield: Liverpool 5-0 Huddersfield | Alex Oxlade-Chamberlain returns to action,2026-07-25 11:35:17.479934
Kubra Nur Celik,1,219081,10000,773.64,Özgüven Eksikliğini Yenmek Mümkün,2026-07-25 11:35:17.479934
Kuro Usagi,1,2596851,52000,1022.82,First Time Trying TRADITIONAL Filipino Food,2026-07-25 11:35:17.479934
L,1,888764,0,1650.19,Your Brain on Tech - Mind Field S2 (Ep 4),2026-07-25 11:35:17.479934
Laurent Garnier,1,446488,6000,1886.09,The Blockchain and Us (2017),2026-07-25 11:35:17.479934
Learning Notes,1,1409760,14000,684.96,What will be the biggest stories of 2019? | Part One | The Economist,2026-07-25 11:35:17.479934
Leila J,1,570488,22000,2070.15,BEST COLOURPOP MAKEUP 2019 - ALL THE Must Haves + My NEW BLUSHES!!!,2026-07-25 11:35:17.479934
LemonN,1,4048517,120000,488.68,How to Make Butter – The Victorian Way,2026-07-25 11:35:17.479934
Leon Fetzenfisch,1,2342442,37000,496.44,PHILOSOPHY - Michel Foucault,2026-07-25 11:35:17.479934
Li C.,1,3553767,74000,702.08,A New Way To Apply Lipstick! Laneige Lip Cards - Tina Tries It,2026-07-25 11:35:17.479934
Lichi Chung,1,3371742,115000,624.79,My Boyfriend Does My Makeup,2026-07-25 11:35:17.479934
